symbol,Date,close,high,low,open,volume
DATA,2013-11-27,65.89,66.5,62.91,62.91,735900
DATA,2013-11-29,65.54,66.49,65,65.8,333100
DATA,2013-12-02,64.24,65.87,63.62,64.63,528500
DATA,2013-12-03,65.61,66.17,63.67,63.91,451800
DATA,2013-12-04,66.52,67.345,64.74,65.15,691200
DATA,2013-12-05,66.64,66.9,66.03,66.07,292300
DATA,2013-12-06,66.29,66.9,65.46,66.78,663200
DATA,2013-12-09,65.71,66.9,65.2,66.24,518500
DATA,2013-12-10,66.25,66.8228,65.69,65.69,206100
DATA,2013-12-11,65.44,66.27,64.46,66.27,269700
DATA,2013-12-12,65.58,65.72,64.65,65.32,269600
DATA,2013-12-13,65.29,66.3,64.6,65.53,307800
DATA,2013-12-16,64.71,65.7,64.41,64.66,326400
DATA,2013-12-17,65.52,66.64,64.465,64.81,453000
DATA,2013-12-18,65.3,65.946,62.85,65.21,495700
DATA,2013-12-19,65.14,66,65.01,66,432700
DATA,2013-12-20,66.1,67,64.42,65.73,867500
DATA,2013-12-23,67.93,68.22,65.8,66.1,474200
DATA,2013-12-24,68.61,68.72,67.261,67.85,80800
DATA,2013-12-26,67.7,68.93,67.15,68.66,191600
DATA,2013-12-27,67.6,68.1,66.63,67.91,209300
DATA,2013-12-30,67.65,68.18,67.01,67.72,254100
DATA,2013-12-31,68.93,68.96,66.88,67.22,318100
DATA,2014-01-02,68.44,69.8,67.615,68.67,502900
DATA,2014-01-03,68.61,69.149,66.19,68.86,315600
DATA,2014-01-06,68.54,69.59,68.26,68.96,319400
DATA,2014-01-07,71.15,71.78,68.65,68.65,695900
DATA,2014-01-08,70.76,71.4,69.04,70.67,389100
DATA,2014-01-09,68.6,71.47,68.18,71.28,286800
DATA,2014-01-10,70.72,71.15,68.16,69.12,328000
DATA,2014-01-13,68.38,70.87,68.04,70.87,299500
DATA,2014-01-14,69.32,70.25,68.128,68.94,211800
DATA,2014-01-15,71.18,71.42,69.66,69.75,440600
DATA,2014-01-16,73.57,74.45,71.12,71.15,768000
DATA,2014-01-17,72.57,73.84,72.05,73.53,368000
DATA,2014-01-21,75.34,75.69,71.91,73.93,811900
DATA,2014-01-22,77.58,78.34,75.29,75.59,687100
DATA,2014-01-23,78.53,79.89,76.2747,78,780000
DATA,2014-01-24,74.93,78.75,74.1,77.84,721600
DATA,2014-01-27,73.5,75.44,72.4047,75.01,474600
DATA,2014-01-28,75.6,76.75,73.52,74,556500
DATA,2014-01-29,75.27,77.98,74.34,77,634000
DATA,2014-01-30,79.82,80.13,75.85,76.57,685500
DATA,2014-01-31,80.82,82.33,77.85,78.56,722300
DATA,2014-02-03,78.95,81.97,76.29,80.97,955100
DATA,2014-02-04,79.43,80.3999,76.29,79.25,1800000
DATA,2014-02-05,89.61,95.75,89,91.78,4398100
DATA,2014-02-06,88.59,90.38,87.1,88.85,1390300
DATA,2014-02-07,89.97,90,86.9,88.05,1911300
